0.766126609,45,2,0.802982129,9120,13,0,6,0,2
0.964672555,40,3,0.382964747,13700,9,3,1,1,2
0.025655677,38,0,0.475841386,3000,7,0,1,0,2
0.392248482,50,0,1.595253368,4676,14,0,3,0,1
0.728150491,31,0,0.824725092,3000,10,0,2,0,1
0.13306279,49,1,0.182881653,10257,9,0,2,0,3
0.734477501,45,0,0.591477634,4716,13,0,2,0,2
1.046279103,47,1,1.104301274,5416,6,0,2,0,1
0.946963874,35,0,1593,-1,6,0,1,0,1
0.085338293,51,0,0.477503628,6200,11,0,1,0,0
0,25,0,0.152896812,2916,3,0,0,1,0
0.786485406,44,0,0.291709578,3883,7,2,0,2,1
0.025892469,38,0,74.5,1,13,0,0,0,2
0.655316473,63,0,5223,-1,19,0,2,0,0
1.953488372,38,0,0.153500141,3556,5,0,0,0,2
0.973339258,61,1,0.209961825,5500,11,0,0,1,1
1.048210842,58,7,0.151956584,3500,12,0,0,0,0
0.220823719,46,1,0.637749121,1705,5,0,0,0,0
0.03719769,47,0,0.03975841,25000,11,0,1,0,3
0.880370887,43,0,0.461323764,7523,6,0,1,0,1
0.635720859,68,1,0.218071277,25000,27,0,3,0,0
0.953343701,48,2,2073,-1,5,1,2,2,0
0.739146488,63,1,0.285156885,6150,12,0,0,0,1
0.802417179,58,1,668,-1,5,1,0,0,0
0.733885463,49,2,0.369223765,8785,20,0,2,0,2
0.991502124,61,10,1.2979007,3000,11,2,3,5,1
0.9999999,32,0,0.006731051,3416,1,0,0,0,3
0.57985084,42,0,0.594224361,2700,8,0,0,0,0
0.9999999,54,0,0.228402866,2372,2,0,0,1,0
0.913140498,37,2,1.620344914,4000,16,0,3,0,1
0.814154511,50,1,0.297139683,3600,8,0,1,1,1
0.640058527,39,0,0.055984556,9841,9,0,0,0,2
0.955545894,52,1,0.524949909,10480,11,0,3,0,1
0.339503567,89,1,0.549380248,2500,9,3,0,1,0
0.517045364,61,0,0.572590321,7500,20,0,2,0,0
0.387065977,51,0,0.350874186,5833,12,0,1,2,1
0.402345742,37,0,0.337622356,12667,16,0,2,0,3
0.314685703,51,3,0.160317928,16984,13,0,2,1,4
0.149314411,36,0,0.558320373,4500,9,0,3,0,0
1.248751249,33,0,0.175120326,2700,3,2,0,0,0
