0,2,36,2,5,2384,1,2,4,3,1,1,4,33,3,1,1,2,1,1,1
0,1,18,2,0,1216,1,2,4,2,1,3,3,23,3,1,1,3,1,2,1
0,4,18,4,6,1864,2,3,4,2,1,2,1,30,3,2,2,3,1,1,1
0,2,36,3,9,4455,1,3,2,1,1,2,1,30,2,2,2,4,1,2,1
0,1,15,2,0,3959,1,3,3,2,1,2,2,29,3,2,1,3,1,2,1
0,2,48,1,9,6416,1,5,4,2,1,3,4,59,3,1,1,3,1,1,1
0,1,12,2,0,1228,1,3,4,2,1,2,1,24,3,2,1,2,1,1,1
0,2,12,2,0,685,1,4,2,4,1,3,3,25,1,2,1,2,1,1,1
0,3,9,2,3,745,1,3,3,2,1,2,1,28,3,2,1,2,1,1,1
0,1,12,4,0,3499,1,3,3,2,2,2,1,29,3,2,2,3,1,1,1
0,1,12,0,5,1108,1,4,4,3,1,3,1,28,3,2,2,3,1,1,1
0,2,9,2,2,918,1,3,4,2,1,1,2,30,3,2,1,3,1,1,1
0,2,9,4,6,1501,1,5,2,2,1,3,3,34,3,2,2,4,1,2,1
0,4,12,3,5,1555,4,5,4,3,1,4,4,55,3,3,2,3,2,1,1
0,2,12,2,3,766,3,3,4,3,1,3,1,66,3,2,1,2,1,1,1
0,1,28,2,0,4006,1,3,3,3,1,2,3,45,3,2,1,2,1,1,1
0,4,36,2,6,1819,1,3,4,3,1,4,4,37,2,3,1,3,1,2,1
0,4,24,2,3,5943,5,2,1,2,1,1,3,44,3,2,2,3,1,2,1
0,4,36,4,2,7127,1,2,2,2,1,4,2,23,3,1,2,3,1,2,1
0,4,36,2,2,3349,1,3,4,2,1,2,3,28,3,2,1,4,1,2,1
0,4,36,2,2,10974,1,1,4,2,1,2,3,26,3,2,2,4,1,2,1
0,2,9,2,3,1670,1,2,4,2,1,2,3,22,3,2,1,3,1,2,1
0,2,12,2,2,1922,1,3,4,3,1,2,2,37,3,2,1,2,1,1,1
0,2,60,2,0,7408,2,2,4,2,1,2,2,24,3,2,1,4,1,1,1
0,1,36,2,2,3446,1,5,4,3,1,2,3,42,3,2,1,3,2,1,1
0,1,12,2,6,684,1,3,4,3,1,4,3,40,3,1,1,2,2,1,1
0,1,33,4,2,4281,3,3,1,2,1,4,3,23,3,2,2,3,1,1,1
0,1,42,2,3,7174,5,4,4,2,1,3,3,30,3,2,1,4,1,2,1
0,1,24,1,3,1546,1,4,4,3,3,4,3,24,1,1,1,2,1,1,1
0,1,24,2,2,2359,2,1,1,1,1,1,2,33,3,2,1,3,1,1,1
0,4,24,2,3,3621,2,5,2,3,1,4,3,31,3,2,2,3,1,1,1
